sample_id	section_id	module_name	predicted_compartment	n_spots	mean_module_score	median_module_score	sd_module_score	iqr_module_score	median_prediction_score_max	notes
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_suggestive_p1e4	Injured/undifferentiated epithelial	376	0.192065043527497	0.194157806216696	0.0394260981863787	0.0519323804141759	0.664449240944739	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_top100	Collecting duct	916	0.170361902350442	0.175496329638865	0.0580621959086241	0.0771652036224914	0.731959935581097	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_top100	Fibroblast/stromal	84	0.163251594468275	0.160470635173339	0.0460417575140402	0.0645223701811435	0.480920816987434	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_top100	Injured/undifferentiated epithelial	376	0.18557480538785	0.18483749372868	0.0479696008893912	0.0687228559766238	0.664449240944739	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_top50	Collecting duct	916	0.184134950623742	0.187951281933117	0.076689096080836	0.101690868748316	0.731959935581097	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_top50	Fibroblast/stromal	84	0.185452627673748	0.176722973204258	0.0632059423379009	0.0641583912117321	0.480920816987434	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_top50	Injured/undifferentiated epithelial	376	0.200705091967314	0.19578968109217	0.0668677706161128	0.0909037741731196	0.664449240944739	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166170	GSM7166170_geo_V12Y24.346_XY04_M50	MAGMA_Bonferroni	Injured/undifferentiated epithelial	1833	0.208872851454584	0.208194903937749	0.0514478995464095	0.0685633826568313	0.656826246562741	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166170	GSM7166170_geo_V12Y24.346_XY04_M50	MAGMA_Bonferroni	Collecting duct	513	0.186463600245668	0.191362222353768	0.0600501394871571	0.078651300170788	0.571905231477993	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166170	GSM7166170_geo_V12Y24.346_XY04_M50	MAGMA_Bonferroni	Fibroblast/stromal	122	0.172202406302391	0.166180951008921	0.0513513238721656	0.0665059520605015	0.472851415090875	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166170	GSM7166170_geo_V12Y24.346_XY04_M50	MAGMA_FDR05	Injured/undifferentiated epithelial	1833	0.218576310336539	0.221000305200926	0.0345301316351156	0.0446342010820238	0.656826246562741	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166170	GSM7166170_geo_V12Y24.346_XY04_M50	MAGMA_FDR05	Collecting duct	513	0.197718176638863	0.204373033112435	0.0474573152717239	0.0566236987697071	0.571905231477993	Predicted broad-compartment context only; not true cell fraction or histological ROI.
